"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "Markdown", "JSON", "CSS", "Rust", "Svelte", "HTML", "Ignore", "Plain Text (PDF)", "comment", "blank", "total"
"f:\user\Documents\University\University6\uav_route_calculation\.eslintrc.cjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"f:\user\Documents\University\University6\uav_route_calculation\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 2, 14
"f:\user\Documents\University\University6\uav_route_calculation\.prettierrc", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"f:\user\Documents\University\University6\uav_route_calculation\README.md", "Markdown", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"f:\user\Documents\University\University6\uav_route_calculation\doc\Raschupkin_EV_UAV_Route_Planning.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9425, 4560, 12, 13997
"f:\user\Documents\University\University6\uav_route_calculation\doc\ПИ-2022_КЭ-303_Ращупкин_ЕВ_КР.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8739, 8945, 14, 17698
"f:\user\Documents\University\University6\uav_route_calculation\package-lock.json", "JSON", 0, 0, 0, 0, 3606, 0, 0, 0, 0, 0, 0, 0, 1, 3607
"f:\user\Documents\University\University6\uav_route_calculation\package.json", "JSON", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"f:\user\Documents\University\University6\uav_route_calculation\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"f:\user\Documents\University\University6\uav_route_calculation\src-tauri\src\algorithms.rs", "Rust", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 34, 37, 243
"f:\user\Documents\University\University6\uav_route_calculation\src-tauri\src\camera\camera_handle.rs", "Rust", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"f:\user\Documents\University\University6\uav_route_calculation\src-tauri\src\camera\camera_sql.rs", "Rust", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 9, 106
"f:\user\Documents\University\University6\uav_route_calculation\src-tauri\src\camera\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"f:\user\Documents\University\University6\uav_route_calculation\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 8, 42
"f:\user\Documents\University\University6\uav_route_calculation\src-tauri\src\uav\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 6, 72
"f:\user\Documents\University\University6\uav_route_calculation\src-tauri\src\uav\uav_handle.rs", "Rust", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"f:\user\Documents\University\University6\uav_route_calculation\src-tauri\src\uav\uav_sql.rs", "Rust", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 10, 118
"f:\user\Documents\University\University6\uav_route_calculation\src-tauri\tauri.conf.json", "JSON", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 1, 74
"f:\user\Documents\University\University6\uav_route_calculation\src\app.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 13
"f:\user\Documents\University\University6\uav_route_calculation\src\app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"f:\user\Documents\University\University6\uav_route_calculation\src\global.css", "CSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"f:\user\Documents\University\University6\uav_route_calculation\src\index.test.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"f:\user\Documents\University\University6\uav_route_calculation\src\map\AlgorithmSelect.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 5, 47
"f:\user\Documents\University\University6\uav_route_calculation\src\map\AltitudeForm.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 9, 96
"f:\user\Documents\University\University6\uav_route_calculation\src\map\CameraForm.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 37, 293
"f:\user\Documents\University\University6\uav_route_calculation\src\map\LMenu.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 10, 46
